;MPP;;;;NCS;;;TRYKNET;VISIOLINK;;;
1. udg.;Produkt;Edition;Sektion;Avis;Kategori;Kanal;Kanalnavn NCS;Filnavn til tryk;Filnavn til E-Paper;FTP-mappe;Kommentar;Asura Inksave
;;;;;;;;;;;;
02.11.16;FST;E1;A - I;Fyens Stiftstidende;FST 1. - 9. sektion;FST;Fyens Stiftstidende;FSTJFM0T3006161111005.pdf;FSTJFMET3006161111005.pdf;FST;;JA
;F22;;;Tillæg Fyens Stiftstidende   ;;;;;;;;
;F44;;;Trimmet Tillæg Fyens Stiftstidende;;;;;;;;
;;;;;;;;;;;;
02.11.16;FAA;E1;A - I;Fyns Amtsavis;FAA 1. - 9. sektion;FAA;Fyns Amts Avis;FAAJFM0T2906161111023.pdf;FAAJFMET2906161111023.pdf;FAA;;JA
;A22;;;Tillæg Fyns Amtsavis;;;;;;;;
;A44;;;Trimmet tillæg Fyns Amts Avis;;;;;;;;
;;;;;;;;;;;;
02.11.16;XRE;E1;A;Rejser FM (Master);FST 5. sektion;ARE;;FSRJFM0T290616A111028.pdf;Som i dag;;;JA
02.11.16;XRE;E2;A;Rejser JM;FST 5. sektion;BRE;;FSRJFM0T290616B111028.pdf;Som i dag;;;JA
02.11.16;XRE;E3;A;Rejser SDM;FST 5. sektion;CRE;;FSRJFM0T290616C111028.pdf;Som i dag;;;JA
02.11.16;XRE;E4;A;Rejser MJM;FST 5. sektion;DRE;;FSRJFM0T290616D111028.pdf;Som i dag;;;JA
02.11.16;XRE;E5;A;Rejser eavis (ikke til tryk);FST 5. sektion;ERE;;;FSRJFM0T290616E111028.pdf;FSR;;
;;;;;;;;;;;;
02.11.16;FSB;E1;A;Base Bolig til tryk og eavis;FST 6. sektion;FSB;;FSBJFM0T2906161111028.pdf;FSBJFM0T2906161111028.pdf;;;
02.11.16;FSB;E2;A;Base Bolig til eavis;FST 6. sektion;BSB;;;FSBJFM0T290616E111028.pdf;FSB;;
;;;;;;;;;;;;
02.11.16;FSZ;E1;A;Gear til tryk og eavis;FST 5. sektion;FSZ;;FSZJFM0T2906161111028.pdf;FSZJFM0T2906161111028.pdf;;;JA
02.11.16;FSZ;E2;A;Gear til eavis;FST 5. sektion;ESZ;;;FSZJFM0T290616E111028.pdf;FSZ;;
;;;;;;;;;;;;
02.11.16;XBF;;;Business Fyn;FST Tillæg 3;XBF;;XBFJFM0S2906161111028.pdf;XBFJFM0S2906161111028.pdf;XBF;;
02.11.16;XEF;;;Erhvervsavisen Fyn;FST Tillæg 1;XEF;;XEFJFM0T2906161111028.pdf;XEFJFM0T2906161111028.pdf;XEF;;
02.11.16;XKO;;;Kommunetillæg fyn;FST Tillæg 3;XKO;;XKOJFM0S2906161111028.pdf;XKOJFM0S2906161111028.pdf;XKO;;
;XEB;E1;A;Byg og Nyt;JFM Tillæg;JFM Tillæg;;XEBJFM0T2906161111028.pdf;XEBJFM0T2906161111028.pdf;XEB;;
;XEL;E1;A;Landbrug i Danmark;JFM Tillæg;JFM Tillæg;;XELJFM0T2906161111028.pdf;XELJFM0T2906161111028.pdf;XEL;;
;XEV;E1;A;Fokus på Virksomheder;JFM Tillæg;JFM Tillæg;;XEVJFM0T2906161111028.pdf;XEVJFM0T2906161111028.pdf;XEV;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;JFD;E1;A;Danmarks sektionen FST;JFM Danmarks sekt.;AFD;JFM Danmarks sekt. Morgen;FSTJFM0T2906161114028.pdf;;;;JA
;JFD;E2;A;Danmarks sektionen AAS;JFM Danmarks sekt.;BFD;JFM Danmarks sekt. AAS;AASJFM0T2906162114028.pdf;;;;
;JFD;E3;A;Danmarks sektionen RAM;JFM Danmarks sekt.;CFD;JFM Danmarks sekt. RAM;RAMJFM0T2906162114028.pdf;;;;
;JFD;E4;A;Danmarks sektionen VSF DRS DHS;JFM Danmarks sekt.;DFD;JFM Danmarks sekt. HVR;DHSJFM0T2906162114028.pdf;;;Holstebro viborg ringkøbing aviser;
;JFD;E5;A;Danmarks sektionen JV;JFM Danmarks sekt.;EFD;JFM Danmarks sekt. JV;SDRJFM0T2906162114028.pdf;;;Ni JV udgaver;
;JFD;E6;A;Danmarks sektionen JYM;JFM Danmarks sekt.;FFD;JFM Danmarks sekt. JYM;HOFJFM0T2906162114028.pdf;;;Horsens Vejle Fredericia;
;JFD;E7;A;Danmarks sektionen FAA;JFM Danmarks sekt.;GFD;JFM Danmarks sekt. FAA;FAAJFM0T2906162114028.pdf;;;;
;;;;;;;;;;;;
02.11.16;DHA;E1;A - B;Dalum Hjallese Avis;DHA;DHA;;DHAJFM0T2906161111028.pdf;DHAJFM0T2906161111028.pdf;DHA;;JA
02.11.16;DH2;E1;A - B;Tillæg Dalum Hjallese Avis;DHA Tillæg;DHA;;DH2JFM0T2906161111028.pdf;DH2JFM0T2906161111028.pdf;DHA-S;;
02.11.16;DH4;E1;A - B;Tillæg Dalum Hjallese Avis Trimmet;DHA Tillæg;DHA;;DH4JFM0S2906161111028.pdf;DH4JFM0S2906161111028.pdf;DHA-S;;
02.11.16;DHQ;;;Dalum Hjallese Avis Øvrige Formater;;;;Ekstern tryk;DHQJFM0S2906161111028.pdf;DHA-S;;
02.11.16;KUA;E1;A - B;Kerteminde Ugeavis;KUA;KUA;;KUAJFM0T2906161111028.pdf;KUAJFM0T2906161111028.pdf;KUA;;JA
02.11.16;KU2;E1;A - B;Tillæg Kerteminde Ugeavis;KUA Tillæg;KUA;;KU2JFM0T2906161111028.pdf;KU2JFM0T2906161111028.pdf;KUA-S;;
02.11.16;KU4;E1;A - B;Tillæg Kerteminde Ugeavis Trimmet;KUA Tillæg;KUA;;KU4JFM0S2906161111028.pdf;KU4JFM0S2906161111028.pdf;KUA-S;;
02.11.16;KUQ;;;Kerteminde Ugeavis Øvrige Formater;;;;Ekstern tryk;KUQJFM0S2906161111028.pdf;KUA-S;;
02.11.16;LAA;E1;A - B;LokalAvisen Assens;LAA;LAA;;LAAJFM0T2906161111028.pdf;LAAJFM0T2906161111028.pdf;LAA;;JA
02.11.16;LA2;E1;A - B;Tillæg LokalAvisen Assens;LAA Tillæg;LAA;;LA2JFM0T2906161111028.pdf;LA2JFM0T2906161111028.pdf;LAA-S;;
02.11.16;LA4;E1;A - B;Tillæg LokalAvisen Assens Trimmet;LAA Tillæg;LAA;;LA4JFM0S2906161111028.pdf;LA4JFM0S2906161111028.pdf;LAA-S;;
02.11.16;LAQ;;;Lokalavisen Assens Øvrige Formater;;;;Ekstern tryk;LAQJFM0S2906161111028.pdf;LAA-S;;
02.11.16;LAN;E1;A - B;LokalAvisen Nyborg;LAN;LAN;;LANJFM0T2906161111028.pdf;LANJFM0T2906161111028.pdf;LAN;;JA
02.11.16;NY2;E1;A - B;Tillæg LokalAvisen Nyborg;LAN Tillæg;LAN;;NY2JFM0T2906161111028.pdf;NY2JFM0T2906161111028.pdf;LAN-S;;
02.11.16;NY4;E1;A - B;Tillæg LokalAvisen Nyborg Trimmet;LAN Tillæg;LAN;;NY4JFM0S2906161111028.pdf;NY4JFM0S2906161111028.pdf;LAN-S;;
02.11.16;NYQ;;;LokalAvisen Nyborg Øvrige Formater;;;;Ekstern tryk;LLQJFM0S2906161111028.pdf;LAN-S;;
02.11.16;LNV;E1;A - B;LokalAvisen Nordvest;LNV;LNV;;LNVJFM0T2906161111028.pdf;LNVJFM0T2906161111028.pdf;LNV;;
02.11.16;LN2;E1;A - B;Tillæg LokalAvisen Nordvest;LNV Tillæg;LNV;;LN2JFM0T2906161111028.pdf;LN2JFM0T2906161111028.pdf;LNV-S;;
02.11.16;LN4;E1;A - B;Tillæg LokalAvisen Nordvest Trimmet;LNV Tillæg;LNV;;LN4JFM0S2906161111028.pdf;LN4JFM0S2906161111028.pdf;LNV-S;;
02.11.16;LNQ;;;LokalAvisen Nordvest Øvrige Formater;;;;Ekstern tryk;LNQJFM0S2906161111028.pdf;LNV-S;;
02.11.16;LOJ;E1;A - B;Lokal Journalen;UAN;UAN;;UANJFM0T290616112028.pdf;UANJFM0T290616112028.pdf;UAN;;
